Modelo,Best Params,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,"{'model__C': 0.1, 'model__solver': 'lbfgs'}",0.9736842105263158,0.9726027397260274,0.9861111111111112,0.9793103448275862,0.9957010582010581
Random Forest,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9930555555555556
